month,Brazil,French Guiana,Guyana,Suriname,Peru,Panama,Costa Rica,Nicaragua,Paraguay,Honduras,Venezuela,Colombia,USA,Jamaica,Guatemala,Haiti,Dominican rep,Ecuador,El Salvador,Cuba,Belize,Bolivia,Argentina,Bonaire,Curacao,Antigua and Barbuda,Barbados,Bermuda,Bahamas,Dominica,Grenada,Martinique,Aruba,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Trinidad and Tobago,Saint Vincent and the Grenadines,British Virgin Islands,United States Virgin Islands,Guadeloupe,Turks and Caicos Islands,Saint Martin,Sint Maarten,Mexico
1,0.65596694,0.34755924,0.05589888,0.10390152,-0.54768246,0.90427,0.31069764,0.509911,0.86453575,0.29600778,0.906324,-0.08676933,-1.0451604,0.7654307,0.39599568,0.64402264,0.52532566,0.12916386,0.62642276,0.78908867,0.3107596,0.079777904,0.029860241,0.3232422,0.2969513,0.31456566,0.17273521,1.0540104,0.6988903,0.41914558,0.15805244,0.32817936,0.25596237,0.5381414,0.34725952,0.41186333,0.40029448,0.244421,0.46349335,0.4179592,0.39335632,0.61097336,0.37002945,0.37002945,-0.06030601
2,0.30009183,0.17814147,0.10433604,0.13908803,0.25253847,0.58624375,0.06680296,0.18998262,0.80654967,-0.27729738,1.0483876,0.2505513,-2.503755,0.18583374,-0.20181379,0.13502568,0.4113792,0.5937882,0.22972177,-0.654401,-0.23089464,0.51961476,0.71031284,0.62872696,0.5901756,0.54398537,0.29772568,-0.30124664,-0.47821912,0.6263733,0.38370705,0.49566555,0.56274796,0.60733765,0.5586014,0.54756165,0.6825527,0.40740395,0.6448879,0.6482849,0.5894971,0.12754059,0.6212559,0.6212559,-0.5434309
3,0.10151953,-0.3953827,-0.21022835,-0.45318207,0.12257002,0.48753285,-0.10373827,0.12914404,0.50971407,0.27937758,0.4256531,0.44921392,0.7346256,0.49422073,0.45456752,0.49819744,0.34598425,0.46355224,0.9546182,1.1720058,0.72565114,0.5380283,0.4344654,0.14254189,0.16303444,0.1565628,-0.19548416,0.15857506,1.4168096,0.12304497,-0.064805984,-0.063388824,0.23026466,0.2561399,0.16732788,-0.16522789,0.078718565,-0.15867043,0.36987877,0.29735374,0.08113766,0.74889946,0.305727,0.305727,-0.42629373
4,0.35532305,0.039965384,-0.17467156,-0.18941863,0.053308904,0.6782117,0.24563643,0.23476008,0.7635425,0.7004199,0.8124229,0.45175692,1.7142919,0.59750783,1.1738685,0.8282751,0.9092884,0.6015678,0.9854415,1.5269907,0.9808689,0.6533135,1.2446166,-0.029304504,-0.033046722,-0.12233925,-0.21887589,0.54543114,1.5911571,-0.13777351,-0.061798096,-0.22415638,0.026554108,0.3545343,-0.03128624,-0.15118027,-0.07170334,-0.1067009,0.12465477,0.040815353,-0.14473248,0.9699726,0.052577972,0.052577972,0.73773247
5,0.31084466,-0.08941882,-0.34565857,-0.2586422,0.36817783,0.818625,0.39517108,0.27790508,0.99931306,0.05730577,1.2144061,0.7269833,0.3111853,0.81195146,0.33293095,0.9870324,0.7967628,0.9550792,1.4134824,0.16149585,0.080066614,0.6547279,1.4185674,-0.60116386,-0.5996609,0.09051132,-0.28364182,0.3674736,0.38924304,0.0211792,-0.25295258,0.016190529,-0.46783638,0.5256937,0.12369919,-0.0020141602,0.17425919,-0.2541046,0.15665436,0.097831726,0.12744904,0.51208115,0.12456703,0.12456703,-0.077804394
6,0.7087865,0.4217617,0.28675845,0.3154506,0.74174476,1.3176254,0.81866145,0.50846475,1.822012,0.083929524,0.7437571,0.68974906,0.3490134,0.8205259,0.2840292,0.67423344,0.57983524,1.2718748,1.3103025,0.06143896,-0.258783,0.898983,1.8655782,-0.50785637,-0.55994034,-0.16018486,-0.31759644,0.8021717,0.19999675,-0.16700745,-0.19638634,0.007258415,-0.539978,0.36760616,-0.10076904,0.04043579,0.19226952,-0.25385666,-0.022924423,-0.0539093,-0.098190784,0.21222496,-0.06398773,-0.06398773,-0.023336688
7,0.79425585,0.5984263,0.36950228,0.5042282,0.88927406,1.0028771,0.58678305,0.6098319,0.5149442,0.71495396,0.7893809,0.8776986,0.8551821,0.5105428,1.0250947,0.8306562,0.6997343,1.5334564,1.8007431,0.31553486,0.7868752,0.21679394,0.92184234,-0.17147064,-0.27131653,-0.16214561,-0.20150757,0.50247,0.32460442,-0.12047577,-0.0028972626,0.07987404,-0.31022644,0.22147846,-0.10830116,0.19726753,0.3221077,-0.09492493,-0.10085106,-0.16941452,-0.09241152,-0.02818489,-0.09137726,-0.09137726,0.6294553
8,1.0548184,0.58339566,0.61917686,0.6514895,1.2577118,1.137851,0.9097948,0.99062145,3.169026,1.1510131,1.0168228,0.9955355,0.41930497,0.77869606,1.4415505,1.0068632,0.9756429,1.3619417,2.4000921,0.26667768,1.2739394,2.15476,2.7700553,0.063028336,-0.0035190582,9.536743e-06,0.122665405,0.17879677,0.43186235,0.06905937,0.22532654,0.3406744,-0.066366196,0.11620077,0.054712296,0.54003906,0.69427335,0.21652603,0.098106384,0.10024452,0.06883764,0.29633713,0.07843208,0.07843208,0.9211298
9,1.6903231,1.0527838,0.84132034,1.0192049,1.5305556,1.0871667,0.81211543,0.73686284,1.7981864,0.7702784,1.5763742,1.4146528,0.54430985,1.1289018,0.9552204,1.0905514,0.92431945,1.8084079,1.0316793,0.5695217,1.017417,1.8618095,0.8370163,0.5013046,0.45160484,0.4371395,0.43362045,0.58877945,0.7033532,0.53024673,0.4514675,0.68194485,0.44688606,0.41644844,0.43932343,0.77085876,0.73178864,0.4916916,0.4248047,0.4245472,0.5369687,0.539341,0.39120483,0.39120483,0.7097812
10,1.6029927,1.0759488,1.3020425,1.2653774,1.0393641,1.153327,1.010155,1.0785006,0.028393647,1.2647599,1.2760187,1.0197499,1.2087139,0.8568277,1.4022142,1.0318279,1.1371706,1.382347,0.97299117,0.37583613,1.4875292,0.4762333,-0.867826,0.50988007,0.56964684,0.66257095,0.69501877,0.3540516,0.41083497,0.77910995,0.58719254,0.8636656,0.48614883,0.8236451,0.63593674,1.0228329,0.7088989,0.730917,0.5585365,0.68714714,0.757226,0.45131493,0.58008385,0.58008385,0.98828393
11,1.5093635,1.2002654,0.6504725,1.1340158,1.0199009,0.94843215,0.8579974,0.77717155,0.27521476,1.3897436,0.81549245,0.76907873,2.1156821,0.7288411,1.7620153,1.034529,0.46078134,1.2595242,0.9821781,1.0642062,1.7463086,1.0403056,-0.6795741,0.29808235,0.3259697,0.34219933,0.37441826,0.77002144,1.0758703,0.25231934,0.461298,0.2665844,0.39178467,0.5215327,0.39078712,0.31676865,0.45348817,0.37818718,0.46386528,0.5048771,0.2810731,0.5578556,0.4791565,0.4791565,1.4846101
12,1.6217507,0.6648337,0.38805914,0.5177384,0.5104703,1.8049897,1.4615159,1.288927,0.63673776,1.7401556,1.2297455,0.96390516,4.1434107,1.2426322,2.277936,1.2832594,1.0100213,1.2609798,1.4628779,1.8477553,2.318972,1.2589202,0.016097851,0.40777016,0.5233536,0.37335205,0.3415661,1.8391571,1.8674355,0.40727234,0.2501049,0.40868187,0.5741081,0.99825543,0.4306221,0.5375328,0.28807718,0.4344921,0.6115322,0.6271095,0.30797672,1.2435608,0.5107155,0.5107155,1.3906904
